#From Claire Loison, sent by email
#
# atom density profile (atom per nm^3)
# hydrated DPPC+CaCl2 (429mM) at 323 K
# charmm36 + CaCl2 by Yoo et al. (2016)
# 30 ns equil + 170 ns analysis
# z=0 at the middle of the bilayer
# z(nm) lipids Ca2+ Cl-
#
-4.8 0 0.251939 0.502943
-4.7 0 0.252994 0.506664
-4.6 0 0.251444 0.516328
-4.5 0 0.253766 0.509963
-4.4 0 0.261251 0.50702
-4.3 0 0.250603 0.500361
-4.2 0 0.248539 0.503657
-4.1 0 0.257244 0.498643
-4 0 0.248039 0.505095
-3.9 0 0.256902 0.504099
-3.8 0 0.248624 0.509208
-3.7 0 0.248558 0.501166
-3.6 7.8225e-06 0.23743 0.523627
-3.5 0.000235454 0.225087 0.520572
-3.4 0.00164865 0.208666 0.536077
-3.3 0.00999988 0.187903 0.556037
-3.2 0.0427721 0.16647 0.59634
-3.1 0.147281 0.15471 0.622646
-3 0.444128 0.141889 0.683865
-2.9 1.11983 0.127393 0.730774
-2.8 2.42456 0.132258 0.721133
-2.7 4.59531 0.153043 0.689879
-2.6 7.92738 0.162105 0.611763
-2.5 12.5002 0.197315 0.499734
-2.4 18.2238 0.235119 0.367642
-2.3 24.3661 0.279931 0.226579
-2.2 29.949 0.319294 0.137835
-2.1 34.0647 0.327628 0.0682907
-2 36.6892 0.299235 0.0288214
-1.9 38.589 0.230916 0.012693
-1.8 41.3047 0.152585 0.00429348
-1.7 46.0967 0.0836984 0.0017865
-1.6 52.5097 0.0379704 0.000372707
-1.5 59.7158 0.0151487 0.000129422
-1.4 66.3587 0.00344741 6.1041e-05
-1.3 71.9204 0.00057674 0
-1.2 76.3381 0.000193209 0
-1.1 79.0816 0 0
-1 80.972 0 0
-0.9 81.6013 0 0
-0.8 81.4848 0 0
-0.7 81.0448 0 0
-0.6 80.4995 0 0
-0.5 79.5284 0 0
-0.4 77.7594 0 0
-0.3 74.7377 0 0
-0.2 70.852 0 0
-0.1 66.7716 0 0
0 64.8141 0 0
0.1 66.3994 0 0
0.2 70.3274 0 0
0.3 74.8785 0 0
0.4 77.949 0 0
0.5 79.499 0 0
0.6 80.5938 0 0
0.7 81.017 0 0
0.8 81.5148 0 0
0.9 81.3418 0 0
1 80.6048 0 0
1.1 78.7386 0 0
1.2 75.828 0.000522577 0
1.3 71.4608 0.00308674 6.32633e-05
1.4 65.7905 0.0106428 6.40397e-05
1.5 59.2323 0.0247429 0.000381969
1.6 52.4979 0.0519908 0.000762826
1.7 46.6603 0.0923066 0.00133134
1.8 42.0984 0.157273 0.00511353
1.9 38.9331 0.228699 0.0119063
2 36.4568 0.287454 0.0333579
2.1 33.5593 0.320721 0.0691781
2.2 29.6322 0.307343 0.130866
2.3 24.2835 0.268425 0.235517
2.4 18.3068 0.228135 0.357735
2.5 12.8044 0.180835 0.487053
2.6 8.22096 0.158481 0.607902
2.7 4.85593 0.14349 0.685791
2.8 2.5743 0.134673 0.713871
2.9 1.21023 0.131769 0.701777
3 0.499545 0.141914 0.683139
3.1 0.174856 0.158745 0.655812
3.2 0.0513855 0.179192 0.596753
3.3 0.0126814 0.201656 0.575779
3.4 0.00296586 0.214453 0.548844
3.5 0.000424934 0.222872 0.532373
3.6 1.56672e-05 0.236821 0.508078
3.7 0 0.235505 0.506075
3.8 0 0.249291 0.512206
3.9 0 0.253794 0.507704
4 0 0.259602 0.511151
4.1 0 0.254918 0.504284
4.2 0 0.260942 0.509061
4.3 0 0.265918 0.511662
4.4 0 0.256678 0.510458
4.5 0 0.251844 0.514185
4.6 0 0.251836 0.505042
4.7 0 0.246393 0.507268
4.8 0 0.252446 0.497043
