#From Claire Loison, sent by email
#
# atom density profile (atom per nm^3)
# hydrated DPPC+CaCl2 (886mM) at 323 K
# charmm36 + CaCl2 by Yoo et al. (2016)
# 30 ns equil + 170 ns analysis
# z=0 at the middle of the bilayer
# z(nm) lipids Ca2+ Cl-
-4.8 0 0.537642 1.06437
-4.7 0 0.539815 1.06699
-4.6 0 0.536887 1.07387
-4.5 0 0.522046 1.06546
-4.4 0 0.535869 1.07411
-4.3 0 0.528687 1.06851
-4.2 0 0.538897 1.07886
-4.1 0 0.526765 1.05697
-4 0 0.533502 1.03926
-3.9 0 0.53894 1.06228
-3.8 0 0.537203 1.05043
-3.7 0 0.535024 1.04214
-3.6 8.58134e-05 0.530792 1.04131
-3.5 0.000821179 0.527548 1.05806
-3.4 0.00568155 0.493859 1.0834
-3.3 0.0302951 0.483508 1.11324
-3.2 0.101767 0.444302 1.14226
-3.1 0.306152 0.422208 1.22506
-3 0.777761 0.377875 1.27546
-2.9 1.74238 0.352309 1.32837
-2.8 3.46206 0.319135 1.34131
-2.7 6.01099 0.332091 1.29096
-2.6 9.64139 0.349497 1.162
-2.5 14.3744 0.378179 0.939492
-2.4 19.8461 0.431518 0.677358
-2.3 25.5407 0.474704 0.454148
-2.2 30.3165 0.466998 0.259782
-2.1 34.3277 0.432321 0.137056
-2 37.4266 0.377975 0.0616849
-1.9 40.3565 0.269872 0.0279473
-1.8 43.8426 0.1686 0.0114092
-1.7 48.5386 0.0831692 0.00459418
-1.6 54.3245 0.0389151 0.00110553
-1.5 60.9715 0.0151169 0.000555256
-1.4 67.3894 0.00534632 0.000183852
-1.3 72.7207 0.00118221 0.000123062
-1.2 76.8031 0.000689356 6.02247e-05
-1.1 79.4503 0.000129026 0
-1 81.1792 0 0
-0.9 81.7289 0 0
-0.8 82.0151 0 0
-0.7 81.4014 0 0
-0.6 80.891 0 0
-0.5 79.817 0 0
-0.4 78.1371 0 0
-0.3 74.8412 0 0
-0.2 70.4543 0 0
-0.1 66.2637 0 0
0 64.4916 0 0
0.1 66.2649 0 0
0.2 70.4395 0 0
0.3 74.7633 0 0
0.4 77.9704 0 0
0.5 79.8505 0 0
0.6 80.7236 0 0
0.7 81.3534 0 0
0.8 81.8893 0 0
0.9 81.8538 0 0
1 81.0465 0 0
1.1 79.3914 0.000122239 0
1.2 76.8542 0.000791861 0
1.3 72.7559 0.0028167 0
1.4 67.1407 0.00756192 6.2015e-05
1.5 60.6287 0.0213842 0.000371474
1.6 53.9903 0.0548374 0.00193862
1.7 47.965 0.116465 0.00633834
1.8 43.1607 0.200155 0.0149012
1.9 39.9758 0.295493 0.0315746
2 37.5695 0.381421 0.0710293
2.1 34.7288 0.443052 0.148664
2.2 30.9093 0.485344 0.275605
2.3 25.91 0.466072 0.460699
2.4 20.156 0.407052 0.698354
2.5 14.585 0.375919 0.96082
2.6 9.70278 0.337295 1.20786
2.7 5.91144 0.325413 1.33871
2.8 3.27221 0.329881 1.39665
2.9 1.63656 0.346449 1.38845
3 0.719755 0.39513 1.34107
3.1 0.2724 0.441028 1.25819
3.2 0.0922753 0.469078 1.18338
3.3 0.0252135 0.519631 1.13087
3.4 0.00589305 0.541569 1.12176
3.5 0.00106085 0.561726 1.10177
3.6 0.000118236 0.550118 1.08492
3.7 1.58892e-05 0.562325 1.09036
3.8 0 0.563839 1.08213
3.9 0 0.545948 1.06861
4 0 0.552574 1.09619
4.1 0 0.549417 1.092
4.2 0 0.540097 1.10327
4.3 0 0.54275 1.09452
4.4 0 0.541787 1.08312
4.5 0 0.541742 1.07014
4.6 0 0.536236 1.08513
4.7 0 0.529145 1.06674
4.8 0 0.539399 1.07389
