# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.046246 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0231228 0.00969885	0.0231228 0.00968114
0.0693684 0.0179265	0.0693684 0.0181976
0.115614 0.0236859	0.115614 0.0242742
0.16186 0.0268428	0.16186 0.0280479
0.208105 0.0275326	0.208105 0.0285636
0.254351 0.0259945	0.254351 0.026741
0.300596 0.0225875	0.300596 0.0235752
0.346842 0.0204489	0.346842 0.0208349
0.393087 0.0173149	0.393087 0.018613
0.439333 0.0151301	0.439333 0.0168535
0.485579 0.0138864	0.485579 0.0153405
0.531824 0.0126922	0.531824 0.0143977
0.57807 0.0124465	0.57807 0.0133606
0.624315 0.0113546	0.624315 0.0127691
0.670561 0.00957709	0.670561 0.0108643
0.716806 0.00711101	0.716806 0.00883814
0.763052 0.00486424	0.763052 0.00571644
0.809298 0.00108994	0.809298 0.00337692
0.855543 -0.00158092	0.855543 0.000902976
0.901789 -0.00505392	0.901789 -0.00215348
0.948034 -0.0072423	0.948034 -0.00536858
0.99428 -0.00865518	0.99428 -0.0087136
1.04053 -0.0103171	1.04053 -0.00939738
1.08677 -0.0101997	1.08677 -0.00853246
1.13302 -0.00893845	1.13302 -0.00879098
1.17926 -0.00849798	1.17926 -0.00757886
1.22551 -0.00728924	1.22551 -0.00470142
1.27175 -0.0065338	1.27175 -0.0029447
1.318 -0.00165521	1.318 0.0014948
1.36424 0.00667762	1.36424 0.00798709
1.41049 0.0192668	1.41049 0.017176
1.45674 0.0255837	1.45674 0.0239211
1.50298 0.0311894	1.50298 0.0272554
1.54923 0.0339172	1.54923 0.0315472
1.59547 0.0299209	1.59547 0.0343331
1.64172 0.0279693	1.64172 0.0327684
1.68796 0.0235321	1.68796 0.0265783
1.73421 0.0203951	1.73421 0.0168033
1.78045 0.0181493	1.78045 0.0142124
1.8267 0.0211471	1.8267 0.0197038
1.87295 0.0325011	1.87295 0.0275043
1.91919 0.0455057	1.91919 0.0369622
1.96544 0.0527315	1.96544 0.0403064
2.01168 0.0553634	2.01168 0.0447779
2.05793 0.054691	2.05793 0.0508449
2.10417 0.0449971	2.10417 0.0553424
2.15042 0.0365605	2.15042 0.0564174
2.19667 0.0241272	2.19667 0.0502657
2.24291 0.0188214	2.24291 0.0418402
2.28916 0.0137949	2.28916 0.0288975
2.3354 0.00801308	2.3354 0.0146651
2.38165 0.00785426	2.38165 0.00720299
2.42789 0.00294511	2.42789 0.00338083
2.47414 0.00105913	2.47414 0.00172427
2.52038 0.00064057	2.52038 0.000416238
2.56663 -0.00029784	2.56663 0.000786958
2.61288 0.00409483	2.61288 0.00276568
2.65912 0.00156641	2.65912 0.000645122
2.70537 0.00209139	2.70537 0.00232977
2.75161 -0.000201519	2.75161 0.00255345
2.79786 -0.0014874	2.79786 0.00215777
2.8441 -0.000935105	2.8441 0.00158299
2.89035 -0.00359473	2.89035 -0.00258656
2.93659 -0.00131965	2.93659 0.000424819
2.98284 -0.00190138	2.98284 0.00165618
3.02909 -0.000595285	3.02909 -8.34472e-05
3.07533 -0.00191488	3.07533 -0.00206017
3.12158 -0.000643996	3.12158 0.000315688
3.16782 -0.00041018	3.16782 0.0020141
3.21407 -0.00169015	3.21407 0.00157531
3.26031 0.000384724	3.26031 0.00155506
3.30656 -0.00278838	3.30656 0.0029685
3.3528 -0.00114607	3.3528 0.00194942
3.39905 0.00111489	3.39905 0.00190591
3.4453 -0.00234148	3.4453 0.00234172
