# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.058972 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0294863 0.00942089	0.0294863 0.00868599
0.088459 0.0167378	0.088459 0.0159245
0.147432 0.0221577	0.147432 0.0205776
0.206404 0.0243983	0.206404 0.023491
0.265377 0.024484	0.265377 0.0237187
0.32435 0.0231228	0.32435 0.0222608
0.383322 0.0211445	0.383322 0.019528
0.442295 0.0184816	0.442295 0.0178989
0.501268 0.016172	0.501268 0.0156456
0.56024 0.0149486	0.56024 0.0147135
0.619213 0.0127147	0.619213 0.0119
0.678186 0.00936849	0.678186 0.00867266
0.737158 0.00554707	0.737158 0.00476199
0.796131 0.00182571	0.796131 0.00128614
0.855103 -0.000875787	0.855103 -0.00126377
0.914076 -0.00291057	0.914076 -0.00352272
0.973049 -0.00429331	0.973049 -0.00509583
1.03202 -0.0051717	1.03202 -0.00628568
1.09099 -0.00604314	1.09099 -0.00729209
1.14997 -0.00643185	1.14997 -0.0064452
1.20894 -0.00219469	1.20894 -0.00430893
1.26791 0.00473522	1.26791 0.00313564
1.32688 0.0124258	1.32688 0.0127298
1.38586 0.0217141	1.38586 0.0222447
1.44483 0.0290986	1.44483 0.0284204
1.5038 0.0352107	1.5038 0.0357825
1.56278 0.0414797	1.56278 0.0391476
1.62175 0.0421854	1.62175 0.0407192
1.68072 0.0401666	1.68072 0.0408057
1.73969 0.0346204	1.73969 0.0391305
1.79867 0.0330017	1.79867 0.0426093
1.85764 0.0313377	1.85764 0.0423319
1.91661 0.0327658	1.91661 0.039482
1.97558 0.0440936	1.97558 0.0418792
2.03456 0.0462184	2.03456 0.0406212
2.09353 0.0431937	2.09353 0.0359012
2.1525 0.0369363	2.1525 0.0260543
2.21147 0.0267817	2.21147 0.0216407
2.27045 0.0152547	2.27045 0.0164334
2.32942 0.0102062	2.32942 0.0117521
2.38839 0.00931548	2.38839 0.00999866
2.44737 0.00760843	2.44737 0.00709571
2.50634 0.00449321	2.50634 0.00449524
2.56531 0.00513269	2.56531 0.00448567
2.62428 0.0063033	2.62428 0.00499449
2.68326 0.00438719	2.68326 0.0037856
2.74223 0.00317257	2.74223 0.00306762
2.8012 0.00263689	2.8012 0.00134117
2.86017 0.00428173	2.86017 0.00204396
2.91915 0.000375235	2.91915 0.000575297
2.97812 0.000830753	2.97812 -0.000485715
3.03709 -0.00048884	3.03709 0.00172754
3.09606 0.000934573	3.09606 0.000572555
3.15504 0.000368152	3.15504 0.0016834
3.21401 -0.000599248	3.21401 -0.000607569
3.27298 -0.000669	3.27298 0.00149777
3.33195 -2.08383e-05	3.33195 -0.000746141
3.39093 0.00120307	3.39093 -0.000668676
3.4499 0.000262894	3.4499 -0.00177093
3.50887 -0.00139288	3.50887 -0.000435206
3.56785 -0.000345933	3.56785 -0.00061116
3.62682 0.000678829	3.62682 5.0204e-06
3.68579 0.00225352	3.68579 0.0015206
3.74476 -0.000906621	3.74476 -0.000135982
3.80374 -0.00165017	3.80374 -0.000417937
3.86271 0.00149762	3.86271 0.000713641
3.92168 -0.000624853	3.92168 0.00059911
3.98065 -0.00140524	3.98065 0.00100859
4.03963 0.000459288	4.03963 -0.00168623
4.0986 0.000641568	4.0986 0.000425839
4.15757 0.00131772	4.15757 0.00180091
4.21654 -0.00102373	4.21654 2.33613e-05
4.27552 -0.00135322	4.27552 0.00027964
4.33449 0.00143125	4.33449 -0.000513286
4.39346 -0.00112089	4.39346 0.00112098
