# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.04577 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0228851 0.00885888	0.0228851 0.00729693
0.0686553 0.0154592	0.0686553 0.012118
0.114425 0.0219932	0.114425 0.0175649
0.160196 0.0241742	0.160196 0.0184506
0.205966 0.0264245	0.205966 0.0195287
0.251736 0.0267832	0.251736 0.0190223
0.297506 0.0250949	0.297506 0.0182592
0.343276 0.0232732	0.343276 0.0175187
0.389047 0.0203115	0.389047 0.0164788
0.434817 0.0188528	0.434817 0.0164144
0.480587 0.0179993	0.480587 0.0165269
0.526357 0.0164246	0.526357 0.0144651
0.572127 0.0147802	0.572127 0.0126318
0.617897 0.013287	0.617897 0.011084
0.663668 0.0120413	0.663668 0.00783234
0.709438 0.0113039	0.709438 0.00529534
0.755208 0.00756544	0.755208 0.00326915
0.800978 0.00509834	0.800978 0.000716994
0.846748 0.00200153	0.846748 -0.000974482
0.892519 -0.00068733	0.892519 -0.00436675
0.938289 -0.00360267	0.938289 -0.0075005
0.984059 -0.00613115	0.984059 -0.009139
1.02983 -0.00738113	1.02983 -0.0104428
1.0756 -0.00696849	1.0756 -0.0114825
1.12137 -0.00726406	1.12137 -0.0111325
1.16714 -0.00552965	1.16714 -0.0112808
1.21291 -0.00125626	1.21291 -0.0104759
1.25868 -0.000996585	1.25868 -0.00476628
1.30445 0.00566483	1.30445 -0.000266311
1.35022 0.011432	1.35022 0.00500337
1.39599 0.0201179	1.39599 0.0106199
1.44176 0.0252916	1.44176 0.020846
1.48753 0.0330345	1.48753 0.028282
1.5333 0.0397995	1.5333 0.0361032
1.57907 0.042088	1.57907 0.0439537
1.62484 0.0459748	1.62484 0.0464497
1.67061 0.0454328	1.67061 0.0466859
1.71638 0.0443626	1.71638 0.0470457
1.76215 0.0465371	1.76215 0.0423514
1.80792 0.047974	1.80792 0.0380972
1.85369 0.0451946	1.85369 0.0338305
1.89946 0.0334625	1.89946 0.0300739
1.94523 0.0286843	1.94523 0.0279118
1.991 0.0255806	1.991 0.0248451
2.03677 0.0213979	2.03677 0.023074
2.08254 0.0212943	2.08254 0.0181789
2.12831 0.020334	2.12831 0.0147205
2.17408 0.017899	2.17408 0.0103701
2.21985 0.0164326	2.21985 0.00817559
2.26562 0.01364	2.26562 0.00595167
2.31139 0.00930659	2.31139 0.00183334
2.35716 0.00852366	2.35716 0.00299666
2.40293 0.00545259	2.40293 0.00152185
2.4487 0.00582933	2.4487 0.00415714
2.49447 0.00433029	2.49447 0.00468976
2.54025 0.00645847	2.54025 0.0026718
2.58602 0.0049237	2.58602 -0.000640978
2.63179 0.00822084	2.63179 0.00315336
2.67756 0.0046579	2.67756 0.00306818
2.72333 0.00487307	2.72333 0.00297091
2.7691 0.00463876	2.7691 -0.000394823
2.81487 0.00344728	2.81487 -0.00070815
2.86064 0.00443654	2.86064 -0.00116996
2.90641 0.00346423	2.90641 -0.00267118
2.95218 0.00361281	2.95218 -0.00523399
2.99795 -0.00139164	2.99795 -0.00169966
3.04372 0.000264793	3.04372 -0.000788371
3.08949 0.00147449	3.08949 -0.00197185
3.13526 0.00172299	3.13526 -0.00584249
3.18103 0.000776425	3.18103 -0.00456024
3.2268 0.00121678	3.2268 -0.00300973
3.27257 0.00105492	3.27257 0.00277345
3.31834 0.000978337	3.31834 0.000556874
3.36411 -0.00185904	3.36411 -0.00546879
3.40988 0.00163682	3.40988 -0.00163661
