# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.045993 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0229965 0.00782971	0.0229965 0.00509331
0.0689895 0.012776	0.0689895 0.0113404
0.114982 0.0158291	0.114982 0.0154676
0.160975 0.0181901	0.160975 0.0205177
0.206968 0.01779	0.206968 0.0238015
0.252961 0.0171055	0.252961 0.0245306
0.298954 0.0194201	0.298954 0.0236491
0.344947 0.0188816	0.344947 0.0225638
0.39094 0.0185254	0.39094 0.0208265
0.436933 0.0185329	0.436933 0.017524
0.482926 0.0177542	0.482926 0.0162156
0.528919 0.0151254	0.528919 0.0138741
0.574912 0.0145241	0.574912 0.0145094
0.620905 0.0117422	0.620905 0.0130581
0.666898 0.0100589	0.666898 0.0112815
0.712891 0.00776821	0.712891 0.00920346
0.758884 0.00637262	0.758884 0.00624601
0.804877 0.0039434	0.804877 0.00476162
0.85087 -0.000172281	0.85087 -7.3391e-05
0.896863 -0.00440093	0.896863 -0.001578
0.942856 -0.00767549	0.942856 -0.00326983
0.988849 -0.0110571	0.988849 -0.00494268
1.03484 -0.0128344	1.03484 -0.00871069
1.08084 -0.0103098	1.08084 -0.00862143
1.12683 -0.0110792	1.12683 -0.00676011
1.17282 -0.00976449	1.17282 -0.00455928
1.21881 -0.00628608	1.21881 -0.00299479
1.26481 -0.00463128	1.26481 -0.0028956
1.3108 0.00202198	1.3108 0.00381045
1.35679 0.008182	1.35679 0.011561
1.40279 0.0178055	1.40279 0.01818
1.44878 0.0236451	1.44878 0.0240491
1.49477 0.0345104	1.49477 0.0363186
1.54077 0.038447	1.54077 0.0477414
1.58676 0.0419165	1.58676 0.0548529
1.63275 0.0446666	1.63275 0.0492418
1.67874 0.0482705	1.67874 0.0488809
1.72474 0.0476111	1.72474 0.0497214
1.77073 0.0398246	1.77073 0.0452315
1.81672 0.0368806	1.81672 0.0398103
1.86272 0.0297023	1.86272 0.0382295
1.90871 0.0324067	1.90871 0.035217
1.9547 0.0267664	1.9547 0.0305817
2.00069 0.0246648	2.00069 0.0259657
2.04669 0.0215179	2.04669 0.0162101
2.09268 0.0193403	2.09268 0.0124793
2.13867 0.0120079	2.13867 0.0107393
2.18467 0.00809075	2.18467 0.013811
2.23066 0.00331222	2.23066 0.0115626
2.27665 -0.00305685	2.27665 0.00316601
2.32265 -0.00376392	2.32265 -0.000464516
2.36864 -0.00668556	2.36864 0.000585508
2.41463 0.00170301	2.41463 0.00316498
2.46062 0.00248807	2.46062 -0.00205196
2.50662 0.000857792	2.50662 -0.0049689
2.55261 0.00155332	2.55261 0.00187339
2.5986 0.00269431	2.5986 0.00179113
2.6446 0.00159771	2.6446 0.00712061
2.69059 -0.000400388	2.69059 0.00245651
2.73658 -0.00297617	2.73658 0.00314385
2.78258 0.00558115	2.78258 0.0037343
2.82857 0.000112678	2.82857 0.000246755
2.87456 -0.0052129	2.87456 0.00184756
2.92055 -0.00118727	2.92055 0.00193499
2.96655 -0.000487986	2.96655 -0.0011441
3.01254 -0.00279928	3.01254 -0.000576474
3.05853 0.0037659	3.05853 -0.00103877
3.10453 -0.00375658	3.10453 0.00456575
3.15052 -0.00123121	3.15052 0.00485678
3.19651 -0.00233294	3.19651 -0.00594362
3.24251 -5.99321e-06	3.24251 0.000214797
3.2885 -0.000147014	3.2885 0.00580635
3.33449 -0.00473337	3.33449 0.00309723
3.38048 0.0013154	3.38048 -0.000694706
3.42648 -0.00264988	3.42648 0.00264996
