# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.059488 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.029744 0.00916764	0.029744 0.00843837
0.0892321 0.0171118	0.0892321 0.0148996
0.14872 0.0233646	0.14872 0.0191686
0.208208 0.0266847	0.208208 0.0208475
0.267696 0.0270756	0.267696 0.0210084
0.327184 0.0257518	0.327184 0.0202769
0.386672 0.0237913	0.386672 0.0183923
0.44616 0.0210394	0.44616 0.0162881
0.505648 0.0179487	0.505648 0.0136639
0.565136 0.0155457	0.565136 0.0112255
0.624625 0.0126885	0.624625 0.00904927
0.684113 0.00973238	0.684113 0.00690374
0.743601 0.00681171	0.743601 0.00393944
0.803089 0.00446095	0.803089 0.000442101
0.862577 0.0018701	0.862577 -0.00260745
0.922065 -0.000897517	0.922065 -0.00609894
0.981553 -0.00356016	0.981553 -0.00811468
1.04104 -0.00526824	1.04104 -0.0099269
1.10053 -0.00495652	1.10053 -0.00906549
1.16002 -0.00343526	1.16002 -0.00719039
1.21951 0.00167041	1.21951 -0.00410555
1.27899 0.00869107	1.27899 0.00120834
1.33848 0.0157203	1.33848 0.0106333
1.39797 0.0232622	1.39797 0.0196391
1.45746 0.0304951	1.45746 0.0304346
1.51695 0.037181	1.51695 0.0372041
1.57643 0.0394114	1.57643 0.0386688
1.63592 0.0379919	1.63592 0.0371747
1.69541 0.0329536	1.69541 0.032933
1.7549 0.0313428	1.7549 0.025698
1.81439 0.0280855	1.81439 0.0179511
1.87387 0.0344122	1.87387 0.0148129
1.93336 0.0428975	1.93336 0.0240761
1.99285 0.0453557	1.99285 0.0402865
2.05234 0.0438373	2.05234 0.0466612
2.11183 0.0456142	2.11183 0.044711
2.17131 0.0434884	2.17131 0.0415355
2.2308 0.0332471	2.2308 0.0337857
2.29029 0.0221222	2.29029 0.0206695
2.34978 0.0132588	2.34978 0.0112206
2.40927 0.00980076	2.40927 0.00633543
2.46875 0.00251026	2.46875 0.00557732
2.52824 0.000403806	2.52824 0.00163469
2.58773 0.00205246	2.58773 -0.00179915
2.64722 0.00212707	2.64722 -0.00137757
2.70671 0.00244471	2.70671 0.000211691
2.76619 0.000407341	2.76619 -0.0029419
2.82568 0.00444533	2.82568 -0.00433083
2.88517 -0.000168479	2.88517 -0.00277765
2.94466 -0.00126794	2.94466 -0.00422611
3.00415 0.0012097	3.00415 -0.000173113
3.06363 -0.000327758	3.06363 -0.00290402
3.12312 0.00110776	3.12312 -0.00482447
3.18261 0.00291503	3.18261 -0.00383771
3.2421 0.00160321	3.2421 -0.000617601
3.30159 -0.000280352	3.30159 -0.00372509
3.36108 0.00150305	3.36108 -0.00298682
3.42056 0.000770248	3.42056 -0.00272494
3.48005 0.00219911	3.48005 -0.00196497
3.53954 0.00206562	3.53954 -0.00146701
3.59903 0.000259348	3.59903 -0.00154085
3.65852 0.00250396	3.65852 -0.00436693
3.718 0.00263446	3.718 -0.00295172
3.77749 0.000948799	3.77749 -0.00106327
3.83698 0.00139213	3.83698 -0.00338086
3.89647 0.00350622	3.89647 -0.00310629
3.95596 0.00311864	3.95596 -0.00185413
4.01544 0.00137056	4.01544 -0.00244624
4.07493 0.00255619	4.07493 -0.00126413
4.13442 0.00084598	4.13442 -0.00278785
4.19391 0.00460171	4.19391 -0.00179009
4.2534 0.000547231	4.2534 0.000125263
4.31288 0.00101626	4.31288 -0.00147117
4.37237 0.000934034	4.37237 -0.0042837
4.43186 0.00366594	4.43186 -0.00366576
