# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.044717 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0223583 0.00744069	0.0223583 0.00668063
0.067075 0.0135051	0.067075 0.0127991
0.111792 0.0186059	0.111792 0.0177835
0.156508 0.0217022	0.156508 0.0197637
0.201225 0.0224623	0.201225 0.0208328
0.245941 0.0232797	0.245941 0.0217899
0.290658 0.0224112	0.290658 0.0217534
0.335375 0.021405	0.335375 0.020717
0.380091 0.0193482	0.380091 0.0199136
0.424808 0.0182174	0.424808 0.0196792
0.469525 0.0164361	0.469525 0.0172883
0.514241 0.0154808	0.514241 0.0167076
0.558958 0.0153821	0.558958 0.0137771
0.603675 0.0134699	0.603675 0.0128187
0.648391 0.0119718	0.648391 0.0115474
0.693108 0.0102131	0.693108 0.0082571
0.737824 0.00750034	0.737824 0.00669383
0.782541 0.00499872	0.782541 0.00393224
0.827258 0.0022032	0.827258 0.00027561
0.871974 -0.000991798	0.871974 -0.00153348
0.916691 -0.00428579	0.916691 -0.00415325
0.961408 -0.00584135	0.961408 -0.00652019
1.00612 -0.00845082	1.00612 -0.00885178
1.05084 -0.00956023	1.05084 -0.00987691
1.09556 -0.00938761	1.09556 -0.0101928
1.14027 -0.00846702	1.14027 -0.00993724
1.18499 -0.00698693	1.18499 -0.00726471
1.22971 -0.00373899	1.22971 -0.00420013
1.27442 -0.00152174	1.27442 0.000209255
1.31914 0.0059075	1.31914 0.00714593
1.36386 0.0113373	1.36386 0.0135178
1.40857 0.0175662	1.40857 0.019883
1.45329 0.0267083	1.45329 0.0244509
1.49801 0.0315546	1.49801 0.0326342
1.54272 0.0412642	1.54272 0.0411339
1.58744 0.0473894	1.58744 0.04499
1.63216 0.0511599	1.63216 0.0470269
1.67687 0.0564499	1.67687 0.046848
1.72159 0.0537011	1.72159 0.0419226
1.76631 0.0455239	1.76631 0.0386081
1.81102 0.0371718	1.81102 0.0355207
1.85574 0.0265907	1.85574 0.037177
1.90046 0.029368	1.90046 0.0366704
1.94517 0.0279697	1.94517 0.0314985
1.98989 0.0280216	1.98989 0.0254767
2.03461 0.0273243	2.03461 0.0216213
2.07932 0.019507	2.07932 0.0156464
2.12404 0.0160419	2.12404 0.00924702
2.16876 0.0138821	2.16876 0.0110504
2.21347 0.00718451	2.21347 0.0120698
2.25819 0.00268786	2.25819 0.00668404
2.30291 -0.00173937	2.30291 0.001938
2.34762 0.00349484	2.34762 0.00480951
2.39234 0.010108	2.39234 0.00252555
2.43706 0.00297599	2.43706 -0.000435725
2.48177 0.000165681	2.48177 0.000622311
2.52649 0.00389275	2.52649 -0.00199943
2.57121 0.00174843	2.57121 0.00420742
2.61592 0.00432335	2.61592 0.00583325
2.66064 0.0047957	2.66064 0.00654099
2.70536 0.000627988	2.70536 0.00169939
2.75007 0.0078103	2.75007 0.00232046
2.79479 0.00657832	2.79479 0.00221285
2.83951 0.000634176	2.83951 0.00141135
2.88422 -0.00137297	2.88422 0.00214619
2.92894 0.0016822	2.92894 0.00141205
2.97366 0.00264438	2.97366 -8.01069e-05
3.01837 -0.000993495	3.01837 0.00058428
3.06309 -0.000603015	3.06309 -0.0040023
3.10781 0.00248717	3.10781 0.00340677
3.15252 0.00142799	3.15252 0.00260275
3.19724 0.00384017	3.19724 -0.000985416
3.24196 0.000696255	3.24196 -0.00348195
3.28667 -0.0020535	3.28667 -0.000899282
3.33139 -0.00111639	3.33139 0.0011166
