# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.051823 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0259117 0.00617844	0.0259117 0.00688277
0.0777351 0.0121968	0.0777351 0.0117218
0.129558 0.0165407	0.129558 0.0156248
0.181382 0.0201239	0.181382 0.019098
0.233205 0.0215656	0.233205 0.0203258
0.285029 0.0216949	0.285029 0.0205908
0.336852 0.0214662	0.336852 0.0194494
0.388675 0.0196889	0.388675 0.0186848
0.440499 0.0184128	0.440499 0.0167793
0.492322 0.0160653	0.492322 0.0154134
0.544146 0.0149844	0.544146 0.013433
0.595969 0.0132405	0.595969 0.0120548
0.647792 0.0112022	0.647792 0.0106209
0.699616 0.00898021	0.699616 0.00864953
0.751439 0.00599116	0.751439 0.00574385
0.803263 0.00218927	0.803263 0.00318223
0.855086 -0.000741963	0.855086 -0.000464497
0.906909 -0.00413777	0.906909 -0.00347798
0.958733 -0.00531738	0.958733 -0.00648562
1.01056 -0.00678546	1.01056 -0.00759248
1.06238 -0.00787271	1.06238 -0.00793792
1.1142 -0.00687346	1.1142 -0.00713054
1.16603 -0.00441696	1.16603 -0.0057973
1.21785 -0.00291088	1.21785 -0.00247667
1.26967 0.00178385	1.26967 0.000639042
1.3215 0.00708177	1.3215 0.0079322
1.37332 0.016547	1.37332 0.0164608
1.42514 0.0223107	1.42514 0.0207299
1.47697 0.0302216	1.47697 0.0269299
1.52879 0.0358846	1.52879 0.0323757
1.58061 0.0407095	1.58061 0.0376818
1.63244 0.0411285	1.63244 0.0412897
1.68426 0.043929	1.68426 0.0427303
1.73608 0.045814	1.73608 0.0426093
1.78791 0.0413584	1.78791 0.0406766
1.83973 0.0357657	1.83973 0.0355652
1.89155 0.0321316	1.89155 0.0345588
1.94338 0.0321156	1.94338 0.0241369
1.9952 0.0237624	1.9952 0.02276
2.04702 0.019902	2.04702 0.0233688
2.09885 0.015938	2.09885 0.0172917
2.15067 0.0128851	2.15067 0.0113876
2.20249 0.0122578	2.20249 0.01051
2.25432 0.00661491	2.25432 0.00736166
2.30614 0.00430309	2.30614 0.0029174
2.35796 0.004833	2.35796 0.00102699
2.40979 0.000680782	2.40979 0.00256144
2.46161 -1.60043e-05	2.46161 0.00226095
2.51343 0.00225788	2.51343 0.000946626
2.56526 -0.000567613	2.56526 0.00281967
2.61708 0.00248988	2.61708 0.000934603
2.6689 0.00180757	2.6689 0.000680751
2.72073 0.00546527	2.72073 0.00169022
2.77255 0.0034254	2.77255 0.00338587
2.82437 0.00106456	2.82437 -6.9035e-05
2.8762 0.00125389	2.8762 -0.000115775
2.92802 0.00121187	2.92802 0.00262889
2.97984 0.000904418	2.97984 0.00101309
3.03167 -0.00027027	3.03167 0.00098115
3.08349 -0.000383856	3.08349 0.000776632
3.13531 -0.000132737	3.13531 -0.00331268
3.18714 0.0020132	3.18714 0.00329071
3.23896 -0.000460606	3.23896 -0.000271944
3.29079 0.000830502	3.29079 0.000625423
3.34261 2.41724e-05	3.34261 -0.000567594
3.39443 -0.000269704	3.39443 0.00191688
3.44626 0.000559557	3.44626 -0.000560769
3.49808 -0.00036498	3.49808 0.000373776
3.5499 0.000154737	3.5499 -0.00141436
3.60173 0.00139748	3.60173 -0.000971841
3.65355 -0.00121985	3.65355 -0.000837552
3.70537 0.000832359	3.70537 -0.00146911
3.7572 0.0015293	3.7572 0.000362487
3.80902 0.00168276	3.80902 -0.000573037
3.86084 -0.00139116	3.86084 0.00139135
