# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.045397 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0226983 0.00664916	0.0226983 0.00414716
0.0680949 0.0128098	0.0680949 0.00949851
0.113492 0.0171498	0.113492 0.0143244
0.158888 0.0206604	0.158888 0.0181229
0.204285 0.0232196	0.204285 0.0199782
0.249681 0.0243112	0.249681 0.021924
0.295078 0.0241612	0.295078 0.021627
0.340475 0.0231465	0.340475 0.0195777
0.385871 0.0218735	0.385871 0.0181518
0.431268 0.0196792	0.431268 0.0154971
0.476665 0.0189677	0.476665 0.0144643
0.522061 0.0171628	0.522061 0.0130433
0.567458 0.0153025	0.567458 0.0116423
0.612854 0.0158305	0.612854 0.0107332
0.658251 0.013946	0.658251 0.00784783
0.703648 0.0114151	0.703648 0.00642235
0.749044 0.00891134	0.749044 0.00282719
0.794441 0.00525611	0.794441 0.000248169
0.839838 0.00152468	0.839838 -0.00286366
0.885234 -0.00145011	0.885234 -0.00487744
0.930631 -0.00475166	0.930631 -0.00701555
0.976027 -0.00480018	0.976027 -0.00851593
1.02142 -0.00503843	1.02142 -0.00978402
1.06682 -0.00671439	1.06682 -0.0102869
1.11222 -0.00768755	1.11222 -0.00983693
1.15761 -0.00787046	1.15761 -0.0110359
1.20301 -0.00624434	1.20301 -0.00965365
1.24841 -0.00214455	1.24841 -0.00522011
1.2938 0.00477581	1.2938 0.00152766
1.3392 0.00907215	1.3392 0.00939151
1.3846 0.0179376	1.3846 0.0187101
1.42999 0.0270383	1.42999 0.0268437
1.47539 0.0334108	1.47539 0.026972
1.52079 0.0396423	1.52079 0.0282539
1.56618 0.0445593	1.56618 0.0359747
1.61158 0.0487112	1.61158 0.0429963
1.65698 0.0532522	1.65698 0.0462741
1.70237 0.0497744	1.70237 0.047657
1.74777 0.048023	1.74777 0.0473182
1.79317 0.0441863	1.79317 0.0412712
1.83856 0.0344393	1.83856 0.0343402
1.88396 0.0320087	1.88396 0.0294511
1.92936 0.0311593	1.92936 0.0266282
1.97475 0.0274218	1.97475 0.0274785
2.02015 0.0257671	2.02015 0.0248727
2.06555 0.0229804	2.06555 0.0209554
2.11094 0.0205489	2.11094 0.0176954
2.15634 0.0196565	2.15634 0.005639
2.20174 0.0184269	2.20174 0.00940679
2.24713 0.0100688	2.24713 0.00678004
2.29253 0.00493864	2.29253 0.00600039
2.33793 0.00753831	2.33793 0.00674603
2.38332 0.00676148	2.38332 0.00346151
2.42872 0.00693415	2.42872 0.00638275
2.47412 0.00767666	2.47412 0.00546509
2.51951 0.00733008	2.51951 0.00147171
2.56491 0.00813276	2.56491 -0.000977138
2.61031 0.00854966	2.61031 0.00546283
2.6557 0.00778392	2.6557 0.00626799
2.7011 0.0030083	2.7011 0.00213508
2.7465 0.00248906	2.7465 0.00239543
2.79189 0.00280999	2.79189 -0.000737485
2.83729 0.00382675	2.83729 -0.00486927
2.88269 0.00539493	2.88269 -0.00200263
2.92808 0.00099977	2.92808 -0.00131197
2.97348 0.00219113	2.97348 -0.00495836
3.01888 0.000200011	3.01888 -0.000855495
3.06427 0.00167699	3.06427 -4.7024e-05
3.10967 -0.00254089	3.10967 -0.00380888
3.15507 0.00050157	3.15507 -0.00524041
3.20046 0.00274187	3.20046 -0.000904696
3.24586 6.39153e-05	3.24586 -0.0027353
3.29126 0.00257875	3.29126 0.00133013
3.33665 0.00207847	3.33665 -0.00379096
3.38205 -0.000121077	3.38205 0.000121086
