# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.044717 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0223583 0.00744069	0.0223583 0.00668059
0.067075 0.013502	0.067075 0.012796
0.111792 0.018606	0.111792 0.0177835
0.156508 0.0217054	0.156508 0.0197668
0.201225 0.0224592	0.201225 0.020839
0.245941 0.0232829	0.245941 0.021793
0.290658 0.0224237	0.290658 0.0217595
0.335375 0.0214081	0.335375 0.020717
0.380091 0.0193421	0.380091 0.0199135
0.424808 0.0182205	0.424808 0.0196822
0.469525 0.0164331	0.469525 0.0172975
0.514241 0.0154871	0.514241 0.0167107
0.558958 0.0153821	0.558958 0.0137648
0.603675 0.0134575	0.603675 0.0128092
0.648391 0.0119594	0.648391 0.0115659
0.693108 0.0101883	0.693108 0.00830049
0.737824 0.00747564	0.737824 0.0067247
0.782541 0.00497402	0.782541 0.00395684
0.827258 0.00220631	0.827258 0.00029109
0.871974 -0.00113109	0.871974 -0.00145945
0.916691 -0.00444081	0.916691 -0.00418459
0.961408 -0.00599352	0.961408 -0.00664496
1.00612 -0.00876953	1.00612 -0.00928601
1.05084 -0.0102975	1.05084 -0.0107222
1.09556 -0.00985214	1.09556 -0.0114158
1.14027 -0.00958691	1.14027 -0.011931
1.18499 -0.00864315	1.18499 -0.0102564
1.22971 -0.00713143	1.22971 -0.00847115
1.27442 -0.00618477	1.27442 -0.00634973
1.31914 -0.00223274	1.31914 -0.00206983
1.36386 0.000757234	1.36386 0.000165132
1.40857 0.00333817	1.40857 0.00274041
1.45329 0.00916046	1.45329 0.00394221
1.49801 0.00916785	1.49801 0.00563568
1.54272 0.013172	1.54272 0.00738797
1.58744 0.0154715	1.58744 0.00657462
1.63216 0.0117789	1.63216 0.00275781
1.67687 0.00751788	1.67687 -0.0102856
1.72159 -0.00657965	1.72159 -0.028553
1.76631 -0.0298437	1.76631 -0.0509542
1.81102 -0.0582532	1.81102 -0.0744074
1.85574 -0.0916871	1.85574 -0.0953653
1.90046 -0.123459	1.90046 -0.128517
1.94517 -0.156747	1.94517 -0.161538
1.98989 -0.18679	1.98989 -0.192236
2.03461 -0.220276	2.03461 -0.223388
2.07932 -0.247744	2.07932 -0.247266
2.12404 -0.268603	2.12404 -0.261168
2.16876 -0.279414	2.16876 -0.266034
2.21347 -0.27841	2.21347 -0.260975
2.25819 -0.265135	2.25819 -0.247058
2.30291 -0.240231	2.30291 -0.224102
2.34762 -0.203324	2.34762 -0.193593
2.39234 -0.16145	2.39234 -0.161622
2.43706 -0.119104	2.43706 -0.128258
2.48177 -0.077488	2.48177 -0.0914313
2.52649 -0.0390897	2.52649 -0.0587122
2.57121 -0.0081441	2.57121 -0.0272112
2.61592 0.0188621	2.61592 -0.0010155
2.66064 0.0384773	2.66064 0.0178163
2.70536 0.0522906	2.70536 0.0322503
2.75007 0.0603679	2.75007 0.040937
2.79479 0.0637128	2.79479 0.0469258
2.83951 0.063726	2.83951 0.0490025
2.88422 0.0606887	2.88422 0.0483085
2.92894 0.0565684	2.92894 0.0456677
2.97366 0.0516125	2.97366 0.0421185
3.01837 0.0450907	3.01837 0.0374567
3.06309 0.0386673	3.06309 0.0311582
3.10781 0.0320831	3.10781 0.0265751
3.15252 0.0262503	3.15252 0.0211818
3.19724 0.0202896	3.19724 0.0156132
3.24196 0.0137653	3.24196 0.00959387
3.28667 0.00750453	3.28667 0.00405285
3.33139 0.00169517	3.33139 -0.00169494
