# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.046246 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0231228 0.00970038	0.0231228 0.00968114
0.0693684 0.0179265	0.0693684 0.0181976
0.115614 0.0236858	0.115614 0.0242758
0.16186 0.0268412	0.16186 0.0280494
0.208105 0.0275326	0.208105 0.028559
0.254351 0.025996	0.254351 0.0267379
0.300596 0.0225859	0.300596 0.023583
0.346842 0.0204442	0.346842 0.0208303
0.393087 0.0173164	0.393087 0.0186161
0.439333 0.015141	0.439333 0.0168535
0.485579 0.0138895	0.485579 0.0153405
0.531824 0.0126921	0.531824 0.0144009
0.57807 0.0124418	0.57807 0.013359
0.624315 0.0113561	0.624315 0.012766
0.670561 0.00958951	0.670561 0.0108659
0.716806 0.00711246	0.716806 0.00884281
0.763052 0.00492025	0.763052 0.00573046
0.809298 0.00114591	0.809298 0.00339558
0.855543 -0.00151871	0.855543 0.00094032
0.901789 -0.00497146	0.901789 -0.00207247
0.948034 -0.00721427	0.948034 -0.00543716
0.99428 -0.0086663	0.99428 -0.00875095
1.04053 -0.0104062	1.04053 -0.00962806
1.08677 -0.010522	1.08677 -0.00927343
1.13302 -0.00951882	1.13302 -0.0103513
1.17926 -0.0100644	1.17926 -0.0106509
1.22551 -0.010018	1.22551 -0.00973151
1.27175 -0.0106966	1.27175 -0.0100334
1.318 -0.0100673	1.318 -0.0084767
1.36424 -0.00746659	1.36424 -0.00673586
1.41049 -0.00207782	1.41049 -0.00386868
1.45674 -0.00251347	1.45674 -0.00451714
1.50298 -0.0061668	1.50298 -0.00782988
1.54923 -0.0127566	1.54923 -0.0112827
1.59547 -0.0261293	1.59547 -0.0168042
1.64172 -0.0367182	1.64172 -0.0270253
1.68796 -0.0477327	1.68796 -0.0391004
1.73421 -0.0522994	1.73421 -0.0545398
1.78045 -0.0569834	1.78045 -0.0646076
1.8267 -0.0572461	1.8267 -0.065619
1.87295 -0.0488189	1.87295 -0.0643119
1.91919 -0.0463013	1.91919 -0.0570649
1.96544 -0.0460022	1.96544 -0.0527466
2.01168 -0.0497888	2.01168 -0.0451955
2.05793 -0.055031	2.05793 -0.0350065
2.10417 -0.0603902	2.10417 -0.0197544
2.15042 -0.0548547	2.15042 0.00188561
2.19667 -0.0392903	2.19667 0.0216576
2.24291 -0.0149362	2.24291 0.0448051
2.28916 0.0194138	2.28916 0.0671967
2.3354 0.0565208	2.3354 0.0922915
2.38165 0.0949035	2.38165 0.119909
2.42789 0.130374	2.42789 0.15005
2.47414 0.159847	2.47414 0.1778
2.52038 0.183922	2.52038 0.200242
2.56663 0.201668	2.56663 0.218119
2.61288 0.210878	2.61288 0.228128
2.65912 0.211288	2.65912 0.231326
2.70537 0.205374	2.70537 0.227409
2.75161 0.194303	2.75161 0.217208
2.79786 0.178899	2.79786 0.202662
2.8441 0.162721	2.8441 0.185279
2.89035 0.146152	2.89035 0.167665
2.93659 0.13087	2.93659 0.149881
2.98284 0.11556	2.98284 0.133392
3.02909 0.100986	3.02909 0.117885
3.07533 0.0875944	3.07533 0.104033
3.12158 0.0741055	3.12158 0.0905635
3.16782 0.0612627	3.16782 0.0775417
3.21407 0.0480475	3.21407 0.0648343
3.26031 0.0358074	3.26031 0.0530733
3.30656 0.0241678	3.30656 0.0420832
3.3528 0.0134205	3.3528 0.03132
3.39905 0.00234369	3.39905 0.0202723
3.4453 -0.00933652	3.4453 0.0093367
