# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.059488 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.029744 0.00916978	0.029744 0.00843308
0.0892321 0.017114	0.0892321 0.0148964
0.14872 0.0233656	0.14872 0.0191707
0.208208 0.02669	0.208208 0.0208454
0.267696 0.0270819	0.267696 0.0210073
0.327184 0.025756	0.327184 0.0202779
0.386672 0.0237903	0.386672 0.0183912
0.44616 0.0210436	0.44616 0.016285
0.505648 0.0179603	0.505648 0.0136618
0.565136 0.0155436	0.565136 0.0112244
0.624625 0.0126865	0.624625 0.00904925
0.684113 0.00975127	0.684113 0.0068953
0.743601 0.00682641	0.743601 0.00394884
0.803089 0.00453333	0.803089 0.00038016
0.862577 0.00193094	0.862577 -0.00267154
0.922065 -0.000766574	0.922065 -0.0061871
0.981553 -0.00327906	0.981553 -0.00830025
1.04104 -0.00501602	1.04104 -0.0101964
1.10053 -0.00486411	1.10053 -0.00960686
1.16002 -0.00405819	1.16002 -0.00829095
1.21951 -0.000502844	1.21951 -0.00714253
1.27899 0.00294137	1.27899 -0.00486331
1.33848 0.00473294	1.33848 -0.00182738
1.39797 0.00455642	1.39797 -0.00143841
1.45746 0.000676202	1.45746 -0.0010417
1.51695 -0.00598015	1.51695 -0.00841583
1.57643 -0.0145959	1.57643 -0.0209688
1.63592 -0.0279262	1.63592 -0.0372893
1.69541 -0.0412291	1.69541 -0.0546691
1.7549 -0.0509396	1.7549 -0.0688433
1.81439 -0.056168	1.81439 -0.0831978
1.87387 -0.0544121	1.87387 -0.0904433
1.93336 -0.0495157	1.93336 -0.0820371
1.99285 -0.0498031	1.99285 -0.0662401
2.05234 -0.0506031	2.05234 -0.056435
2.11183 -0.0431743	2.11183 -0.0498195
2.17131 -0.0318976	2.17131 -0.0406544
2.2308 -0.0188668	2.2308 -0.0285299
2.29029 0.000377983	2.29029 -0.0104403
2.34978 0.0274185	2.34978 0.0169394
2.40927 0.0594455	2.40927 0.0535484
2.46875 0.0903639	2.46875 0.08942
2.52824 0.119456	2.52824 0.121691
2.58773 0.142209	2.58773 0.142529
2.64722 0.157601	2.64722 0.157075
2.70671 0.162822	2.70671 0.161356
2.76619 0.161767	2.76619 0.156512
2.82568 0.154049	2.82568 0.147454
2.88517 0.141239	2.88517 0.135541
2.94466 0.127005	2.94466 0.122771
3.00415 0.112911	3.00415 0.110141
3.06363 0.100849	3.06363 0.0971002
3.12312 0.0893094	3.12312 0.0853547
3.18261 0.0788536	3.18261 0.0745122
3.2421 0.0686816	3.2421 0.0650621
3.30159 0.0603612	3.30159 0.056711
3.36108 0.0526933	3.36108 0.0498508
3.42056 0.0463799	3.42056 0.0432853
3.48005 0.0410481	3.48005 0.0384817
3.53954 0.0359157	3.53954 0.0340872
3.59903 0.0319721	3.59903 0.0292697
3.65852 0.0274348	3.65852 0.0264832
3.718 0.0232319	3.718 0.022907
3.77749 0.0205313	3.77749 0.020718
3.83698 0.0180292	3.83698 0.0174952
3.89647 0.0164257	3.89647 0.014924
3.95596 0.0140681	3.95596 0.0125415
4.01544 0.0114747	4.01544 0.0106142
4.07493 0.00954603	4.07493 0.00952046
4.13442 0.00838863	4.13442 0.00787891
4.19391 0.00702955	4.19391 0.00638378
4.2534 0.00436179	4.2534 0.00488414
4.31288 0.00281283	4.31288 0.00351338
4.37237 0.00116679	4.37237 0.000797418
4.43186 -4.88081e-05	4.43186 4.90705e-05
