# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.058972 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0294863 0.0094272	0.0294863 0.00868805
0.088459 0.0167358	0.088459 0.0159172
0.147432 0.0221609	0.147432 0.0205745
0.206404 0.0244025	0.206404 0.0234847
0.265377 0.0244903	0.265377 0.0237145
0.32435 0.0231302	0.32435 0.0222598
0.383322 0.0211571	0.383322 0.0195185
0.442295 0.0184869	0.442295 0.0179031
0.501268 0.0161826	0.501268 0.0156457
0.56024 0.0149602	0.56024 0.0147157
0.619213 0.0127463	0.619213 0.0119052
0.678186 0.00942424	0.678186 0.00867477
0.737158 0.00560704	0.737158 0.00476723
0.796131 0.00193917	0.796131 0.00130407
0.855103 -0.000817921	0.855103 -0.00125644
0.914076 -0.00288524	0.914076 -0.00343326
0.973049 -0.00420729	0.973049 -0.00492185
1.03202 -0.00520185	1.03202 -0.00621662
1.09099 -0.00687782	1.09099 -0.00711247
1.14997 -0.00781969	1.14997 -0.00695877
1.20894 -0.00525223	1.20894 -0.00612287
1.26791 -0.00193678	1.26791 -0.00137689
1.32688 0.00062582	1.32688 0.00371999
1.38586 0.0029605	1.38586 0.00563345
1.44483 0.00173589	1.44483 0.00213971
1.5038 -0.00397141	1.5038 -0.00152111
1.56278 -0.00922748	1.56278 -0.00787765
1.62175 -0.0190655	1.62175 -0.0149029
1.68072 -0.0342381	1.68072 -0.0232194
1.73969 -0.0501275	1.73969 -0.0335413
1.79867 -0.0633504	1.79867 -0.0401408
1.85764 -0.0765358	1.85764 -0.0502961
1.91661 -0.0858122	1.91661 -0.0654462
1.97558 -0.0863562	1.97558 -0.0754645
2.03456 -0.0910045	2.03456 -0.0872271
2.09353 -0.0966113	2.09353 -0.0970158
2.1525 -0.0956431	2.1525 -0.0972471
2.21147 -0.085862	2.21147 -0.0840483
2.27045 -0.0661624	2.27045 -0.0575943
2.32942 -0.0313994	2.32942 -0.0188293
2.38839 0.0131274	2.38839 0.0236175
2.44737 0.0596006	2.44737 0.0652729
2.50634 0.102775	2.50634 0.103014
2.56531 0.13809	2.56531 0.133643
2.62428 0.164842	2.62428 0.156161
2.68326 0.180692	2.68326 0.169867
2.74223 0.187692	2.74223 0.174711
2.8012 0.186538	2.8012 0.17287
2.86017 0.17997	2.86017 0.166885
2.91915 0.170507	2.91915 0.157553
2.97812 0.158366	2.97812 0.147076
3.03709 0.146141	3.03709 0.136434
3.09606 0.134097	3.09606 0.125872
3.15504 0.122727	3.15504 0.115551
3.21401 0.112328	3.21401 0.105806
3.27298 0.102524	3.27298 0.0960334
3.33195 0.0935527	3.33195 0.0875968
3.39093 0.0850623	3.39093 0.079679
3.4499 0.0777278	3.4499 0.0726506
3.50887 0.070309	3.50887 0.0655746
3.56785 0.0638904	3.56785 0.0595503
3.62682 0.0577733	3.62682 0.0544004
3.68579 0.0520799	3.68579 0.0491546
3.74476 0.0462382	3.74476 0.0443205
3.80374 0.0413067	3.80374 0.0399527
3.86271 0.0361986	3.86271 0.0358454
3.92168 0.0318642	3.92168 0.0316133
3.98065 0.0275039	3.98065 0.027561
4.03963 0.0234416	4.03963 0.0233607
4.0986 0.0196511	4.0986 0.0190727
4.15757 0.0157738	4.15757 0.0150279
4.21654 0.0116627	4.21654 0.0113159
4.27552 0.00749123	4.27552 0.00770954
4.33449 0.0039561	4.33449 0.003349
4.39346 0.000260188	4.39346 -0.00025978
