# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.04577 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0228851 0.00885425	0.0228851 0.00728997
0.0686553 0.0154615	0.0686553 0.0121134
0.114425 0.0219978	0.114425 0.0175719
0.160196 0.0241672	0.160196 0.0184529
0.205966 0.0264245	0.205966 0.0195357
0.251736 0.0267855	0.251736 0.0190293
0.297506 0.0250926	0.297506 0.0182639
0.343276 0.0232732	0.343276 0.0175234
0.389047 0.0203092	0.389047 0.0164741
0.434817 0.0188505	0.434817 0.0164074
0.480587 0.017997	0.480587 0.0165269
0.526357 0.0164246	0.526357 0.0144674
0.572127 0.0147802	0.572127 0.0126365
0.617897 0.0132893	0.617897 0.0110887
0.663668 0.012046	0.663668 0.00784396
0.709438 0.0112738	0.709438 0.00526739
0.755208 0.00750041	0.755208 0.0032204
0.800978 0.00501008	0.800978 0.000728602
0.846748 0.00203402	0.846748 -0.000942026
0.892519 -0.000775504	0.892519 -0.00451974
0.938289 -0.00364693	0.938289 -0.00765357
0.984059 -0.00620594	0.984059 -0.00964535
1.02983 -0.00792479	1.02983 -0.0117017
1.0756 -0.00791375	1.0756 -0.0135007
1.12137 -0.00861951	1.12137 -0.0140544
1.16714 -0.00793647	1.16714 -0.0152245
1.21291 -0.00556308	1.21291 -0.0144972
1.25868 -0.00681923	1.25868 -0.0104674
1.30445 -0.00287708	1.30445 -0.00802813
1.35022 -0.000183448	1.35022 -0.00588833
1.39599 0.00534744	1.39599 -0.00344066
1.44176 0.00627396	1.44176 0.00132391
1.48753 0.00874288	1.48753 0.0022372
1.5333 0.00985483	1.5333 0.00705637
1.57907 0.00590001	1.57907 0.00852172
1.62484 -0.000894412	1.62484 0.00347219
1.67061 -0.0112442	1.67061 -0.00333124
1.71638 -0.0236975	1.71638 -0.0135801
1.76215 -0.036307	1.76215 -0.0295405
1.80792 -0.0551081	1.80792 -0.0540976
1.85369 -0.080476	1.85369 -0.0792702
1.89946 -0.111977	1.89946 -0.104816
1.94523 -0.141142	1.94523 -0.133639
1.991 -0.164729	1.991 -0.165664
2.03677 -0.185428	2.03677 -0.19421
2.08254 -0.201013	2.08254 -0.217328
2.12831 -0.208605	2.12831 -0.230898
2.17408 -0.212818	2.17408 -0.237186
2.21985 -0.209734	2.21985 -0.232089
2.26562 -0.194299	2.26562 -0.21469
2.31139 -0.172765	2.31139 -0.187844
2.35716 -0.14325	2.35716 -0.150196
2.40293 -0.110357	2.40293 -0.107674
2.4487 -0.073533	2.4487 -0.0658061
2.49447 -0.036254	2.49447 -0.0262119
2.54025 -0.000776449	2.54025 0.00739912
2.58602 0.0286822	2.58602 0.0332521
2.63179 0.0506107	2.63179 0.0521031
2.67756 0.0662182	2.67756 0.0640165
2.72333 0.0759117	2.72333 0.0701019
2.7691 0.0805367	2.7691 0.0708194
2.81487 0.0806935	2.81487 0.0686888
2.86064 0.078012	2.86064 0.0629189
2.90641 0.0732649	2.90641 0.0560448
2.95218 0.0662121	2.95218 0.0484701
2.99795 0.0584977	2.99795 0.0406367
3.04372 0.0514857	3.04372 0.0349553
3.08949 0.0450285	3.08949 0.027812
3.13526 0.0383628	3.13526 0.0215755
3.18103 0.0317015	3.18103 0.0160197
3.2268 0.0267881	3.2268 0.0101119
3.27257 0.0215546	3.27257 0.00603318
3.31834 0.016699	3.31834 0.00112005
3.36411 0.0121222	3.36411 -0.00345736
3.40988 0.00793182	3.40988 -0.00793175
