# Surface charge density profile from charge distribution file chargeDistribution.xvg
# Bin width 0.045397 nm.

# UPPER LEAFLET -- LOWER LEAFLET --
# z(nm) SCD(q/nm2) z(nm) SCD(q/nm2)
0.0226983 0.00665833	0.0226983 0.00414102
0.0680949 0.0128005	0.0680949 0.00949546
0.113492 0.017159	0.113492 0.0143091
0.158888 0.0206727	0.158888 0.018129
0.204285 0.0232135	0.204285 0.0199752
0.249681 0.0243204	0.249681 0.0219087
0.295078 0.0241735	0.295078 0.021621
0.340475 0.0231588	0.340475 0.0195654
0.385871 0.0218765	0.385871 0.0181487
0.431268 0.0196915	0.431268 0.0155125
0.476665 0.0189768	0.476665 0.0144796
0.522061 0.0171659	0.522061 0.0130617
0.567458 0.0153148	0.567458 0.0116485
0.612854 0.0158398	0.612854 0.0107301
0.658251 0.0139645	0.658251 0.00782326
0.703648 0.0114582	0.703648 0.00639783
0.749044 0.00896057	0.749044 0.00288882
0.794441 0.00532709	0.794441 0.00026051
0.839838 0.00156783	0.839838 -0.00292839
0.885234 -0.00132663	0.885234 -0.00501272
0.930631 -0.00459732	0.930631 -0.00709863
0.976027 -0.00467677	0.976027 -0.00895899
1.02142 -0.00518	1.02142 -0.0100641
1.06682 -0.00748712	1.06682 -0.0106627
1.11222 -0.00806627	1.11222 -0.0109538
1.15761 -0.00938224	1.15761 -0.0134465
1.20301 -0.00932777	1.20301 -0.012828
1.24841 -0.00874513	1.24841 -0.0100471
1.2938 -0.00395003	1.2938 -0.00565195
1.3392 -0.000949429	1.3392 -0.000448505
1.3846 0.00286139	1.3846 0.0045133
1.42999 0.00662165	1.42999 0.00885302
1.47539 0.00849932	1.47539 0.00327582
1.52079 0.0108037	1.52079 0.00117406
1.56618 0.0112718	1.56618 0.00319582
1.61158 0.00814561	1.61158 0.00339971
1.65698 0.00541649	1.65698 -0.00124999
1.70237 -0.00698615	1.70237 -0.00732088
1.74777 -0.0248429	1.74777 -0.0219757
1.79317 -0.0429165	1.79317 -0.0428748
1.83856 -0.0687827	1.83856 -0.0673932
1.88396 -0.0947317	1.88396 -0.0985096
1.92936 -0.120027	1.92936 -0.127656
1.97475 -0.14933	1.97475 -0.151253
2.02015 -0.175745	2.02015 -0.172897
2.06555 -0.19963	2.06555 -0.193889
2.11094 -0.212278	2.11094 -0.209186
2.15634 -0.21635	2.15634 -0.218591
2.20174 -0.210977	2.20174 -0.215047
2.24713 -0.196825	2.24713 -0.197131
2.29253 -0.172005	2.29253 -0.168072
2.33793 -0.138456	2.33793 -0.129825
2.38332 -0.101004	2.38332 -0.0906108
2.42872 -0.0611224	2.42872 -0.053818
2.47412 -0.0200547	2.47412 -0.0170422
2.51951 0.0147209	2.51951 0.0143687
2.56491 0.0430994	2.56491 0.0396931
2.61031 0.0628136	2.61031 0.0589812
2.6557 0.0748491	2.6557 0.0705181
2.7011 0.0806748	2.7011 0.0756068
2.7465 0.0806364	2.7465 0.0759201
2.79189 0.077433	2.79189 0.0707156
2.83729 0.0716341	2.83729 0.0632608
2.88269 0.0648989	2.88269 0.0556228
2.92808 0.0560906	2.92808 0.0470562
2.97348 0.0473905	2.97348 0.039583
3.01888 0.0396856	3.01888 0.0326389
3.06427 0.033567	3.06427 0.0254205
3.10967 0.0274826	3.10967 0.0188384
3.15507 0.0206648	3.15507 0.0132986
3.20046 0.016677	3.20046 0.010048
3.24586 0.0125723	3.24586 0.0065491
3.29126 0.00899291	3.29126 0.00319191
3.33665 0.0064574	3.33665 -0.000917521
3.38205 0.00469455	3.38205 -0.00469446
